id,posted_date,date,company,issuing_office,subject,response_letter,closeout_letter,url
00000,03/10/2026,02/27/2026,snushaven.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/snushavencom-724257-02272026
00001,03/10/2026,02/27/2026,thesnuslife.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/thesnuslifecom-724354-02272026
00002,03/10/2026,02/27/2026,idripejuice.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/idripejuicecom-724255-02272026
00003,03/10/2026,12/19/2025,"Exactech, Inc. dba Advita Ortho",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/exactech-inc-dba-advita-ortho-720250-12192025
00004,03/10/2026,03/03/2026,Simtra BioPharma Solutions,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/simtra-biopharma-solutions-720436-03032026
00005,03/10/2026,03/03/2026,Tentamus India Private Limited,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/tentamus-india-private-limited-720463-03032026
00006,03/10/2026,03/03/2026,Fareva Morton Grove,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fareva-morton-grove-719408-03032026
00007,03/10/2026,02/17/2026,Raw Bistro Inc.,Center for Veterinary Medicine,"CGMP/Food for Animals/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/raw-bistro-inc-719038-02172026
00008,03/10/2026,03/02/2026,"NSE Products, Inc. DBA Nu Skin Enterprises, Inc.",Center for Drug Evaluation and Research (CDER),Electronic Drug Registration and Listing System (eDRLS)/Violations,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/nse-products-inc-dba-nu-skin-enterprises-inc-722667-03022026
00009,03/10/2026,03/05/2026,SSS AUSTAR LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sss-austar-llc-724502-03052026
00010,03/10/2026,02/19/2026,El Rey USA Meats & Seafood Inc.,Office of Inspections and Investigations,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/el-rey-usa-meats-seafood-inc-722157-02192026
00011,03/10/2026,02/27/2026,Rio Verde Food Service Inc.,Human Foods Program,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/rio-verde-food-service-inc-719149-02272026
00012,03/10/2026,03/05/2026,Novo Nordisk Inc.,Center for Drug Evaluation and Research (CDER),Postmarketing Adverse Drug Experience Reporting Requirements,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/novo-nordisk-inc-717576-03052026
00013,03/05/2026,02/20/2026,Premium Health Management Inc. dba Premium Health,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/premium-health-management-inc-dba-premium-health-721474-02202026
00014,03/03/2026,02/20/2026,"Kare Solutions, LLC dba Zappy",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/kare-solutions-llc-dba-zappy-717991-02202026
00015,03/03/2026,02/20/2026,"Strut Health, LLC dba Strut",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/strut-health-llc-dba-strut-721448-02202026
00016,03/03/2026,02/20/2026,"Peaks Curative, LLC dba Peaks",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/peaks-curative-llc-dba-peaks-721817-02202026
00017,03/03/2026,02/20/2026,"Lean Rx, Inc. dba SkinnyRx",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/lean-rx-inc-dba-skinnyrx-717989-02202026
00018,03/03/2026,02/20/2026,Good Girl LLC dba GoodGirlRX,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/good-girl-llc-dba-goodgirlrx-721449-02202026
00019,03/03/2026,02/20/2026,"Refills Health, LLC dba Refills Health",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/refills-health-llc-dba-refills-health-721475-02202026
00020,03/03/2026,02/20/2026,PharmaZee,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/pharmazee-721473-02202026
00021,03/03/2026,02/20/2026,Weightless Medical LLC dba WeightCare,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/weightless-medical-llc-dba-weightcare-721478-02202026
00022,03/03/2026,02/20/2026,Ivim Services LLC dba Ivim,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ivim-services-llc-dba-ivim-721816-02202026
00023,03/03/2026,02/20/2026,"Viv Health, Inc. dba VIV RX",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/viv-health-inc-dba-viv-rx-721818-02202026
00024,03/03/2026,09/24/2025,Las Americas Supermercado#2 Inc.,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/las-americas-supermercado2-inc-716877-09242025
00025,03/03/2026,02/20/2026,Join Josie,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/join-josie-717986-02202026
00026,03/03/2026,02/20/2026,Kin Meds,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/kin-meds-721450-02202026
00027,03/03/2026,02/20/2026,"Newman Clinic, PLLC dba Newman Clinic",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/newman-clinic-pllc-dba-newman-clinic-721470-02202026
00028,03/03/2026,02/20/2026,NewSelf Limited dba NewSelf,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/newself-limited-dba-newself-721472-02202026
00029,03/03/2026,02/20/2026,"24HrDoc, Inc. dba 24HrDoc",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/24hrdoc-inc-dba-24hrdoc-717984-02202026
00030,03/03/2026,02/20/2026,Alan Health Technologies Inc. dba Alan,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/alan-health-technologies-inc-dba-alan-721814-02202026
00031,03/03/2026,02/20/2026,Aspen Aesthetics dba Fifty 410,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/aspen-aesthetics-dba-fifty-410-721481-02202026
00032,03/03/2026,02/20/2026,"FitRX, LLC dba FitRx",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fitrx-llc-dba-fitrx-717987-02202026
00033,03/03/2026,02/20/2026,Deluxe IV Aesthetics PLLC dba Deluxe IV and Aesthetics,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/deluxe-iv-aesthetics-pllc-dba-deluxe-iv-and-aesthetics-721447-02202026
00034,03/03/2026,02/20/2026,Genesis Health International Inc. dba Genesis,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/genesis-health-international-inc-dba-genesis-721451-02202026
00035,03/03/2026,02/20/2026,"Dripgym Mobile Parent, LLC dba Amp Health",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/dripgym-mobile-parent-llc-dba-amp-health-717992-02202026
00036,03/03/2026,02/20/2026,Levity Inc. dba Levity,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/levity-inc-dba-levity-717990-02202026
00037,03/03/2026,02/20/2026,BluefitMD,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bluefitmd-721446-02202026
00038,03/03/2026,02/20/2026,Belle Health LLC dba Belle,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/belle-health-llc-dba-belle-721795-02202026
00039,03/03/2026,02/20/2026,Bliv Wellness LLC dba Bliv,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bliv-wellness-llc-dba-bliv-721479-02202026
00040,03/03/2026,02/20/2026,MaxLife Technologies Inc. dba Maxlife,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/maxlife-technologies-inc-dba-maxlife-721453-02202026
00041,03/03/2026,02/20/2026,"Better Health Labs, Inc. dba Measured",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/better-health-labs-inc-dba-measured-721454-02202026
00042,03/03/2026,02/20/2026,"MEDVi, LLC dba MEDVi",Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/medvi-llc-dba-medvi-721455-02202026
00043,03/03/2026,09/24/2025,Supercan Bully Sticks LLC,Division of Southeast Imports,Foreign Supplier Verification Program (FSVP),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/supercan-bully-sticks-llc-709766-09242025
00044,03/03/2026,01/29/2026,"Diasol, Inc.",Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/diasol-inc-719460-01292026
00045,03/03/2026,01/28/2026,"Beta Bionics, Inc.",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/beta-bionics-inc-717927-01282026-0
00046,03/03/2026,01/20/2026,GenoGenix LLC,Center for Drug Evaluation and Research (CDER),Compounding Pharmacy/Adulterated Drug Products,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/genogenix-llc-718739-01202026
00047,03/03/2026,12/30/2025,R.R. Importaciones Inc.,Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/rr-importaciones-inc-719593-12302025
00048,03/03/2026,02/12/2026,"Black Sheep Egg Company, LLC",Human Foods Program,PHS Act/Shell Egg Regulation/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/black-sheep-egg-company-llc-718802-02122026
00049,03/03/2026,11/28/2025,"The Father's Table, LLC",Human Foods Program,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated/L. monocytogenes",,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fathers-table-llc-706334-11282025
00050,03/03/2026,11/28/2025,John Yoder Farm,Human Foods Program,PHS Act/Shell Egg Regulation/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/john-yoder-farm-716077-11282025
00051,03/03/2026,11/28/2025,Yuyao City Boss Vegetable Factory Co. Ltd.,Human Foods Program,Acidified Foods/Emergency Permit Control/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/yuyao-city-boss-vegetable-factory-co-ltd-717174-11282025
00052,03/03/2026,02/20/2026,Zeuss LLC dba Zeuss,Center for Drug Evaluation and Research (CDER),False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/zeuss-llc-dba-zeuss-717985-02202026
00053,02/24/2026,02/06/2026,ExThera Medical Corporation,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/exthera-medical-corporation-715068-02062026
00054,02/24/2026,02/13/2026,swedishproducts.online,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/swedishproductsonline-723611-02132026
00055,02/24/2026,01/28/2026,"Beta Bionics, Inc.",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/beta-bionics-inc-717927-01282026
00056,02/24/2026,02/12/2026,"AQ USA Inc., d.b.a Ross Healthcare Inc.",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/aq-usa-inc-dba-ross-healthcare-inc-719517-02122026
00057,02/24/2026,12/12/2025,MedisourceRx,Center for Drug Evaluation and Research (CDER),Compounding Pharmacy/Adulterated Drug Products,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/medisourcerx-717970-12122025
00058,02/24/2026,01/16/2026,East CK Trading Inc.,Division of Northeast Imports,Foreign Supplier Verification Program (FSVP),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/east-ck-trading-inc-721324-01162026
00059,02/24/2026,02/12/2026,A. Nelson & Co. Ltd.,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/nelson-co-ltd-720283-02122026
00060,02/24/2026,02/11/2026,Dynamic Stem Cell Therapy,Center for Biologics Evaluation and Research,Unapproved New Drugs/Unlicensed Biological Product Violations,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/dynamic-stem-cell-therapy-712579-02112026
00061,02/24/2026,01/22/2026,Tombak LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/tombak-llc-720496-01222026
00062,02/24/2026,02/13/2026,The Sabagh Group Inc/lighterusa.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sabagh-group-inclighterusacom-718615-02132026
00063,02/17/2026,02/06/2026,Cosmetic Manufacturers Pty Ltd.,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cosmetic-manufacturers-pty-ltd-719225-02062026
00064,02/17/2026,01/08/2026,Elanco Animal Health USA,Center for Veterinary Medicine,False & Misleading Claims/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/elanco-animal-health-usa-710613-01082026
00065,02/17/2026,01/29/2026,"Fidelity Melon, Inc",Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fidelity-melon-inc-722574-01292026
00066,02/17/2026,02/02/2026,"Bertrand P. Cole, D.O.",Center for Drug Evaluation and Research (CDER),Clinical Investigator,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bertrand-p-cole-do-723495-02022026
00067,02/10/2026,01/16/2026,"Boothwyn Pharmacy, LLC",Center for Drug Evaluation and Research (CDER),Compounding Pharmacy/Adulterated Drug Products,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/boothwyn-pharmacy-llc-717525-01162026
00068,02/10/2026,01/21/2026,"Signature Formulations, LLC",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/signature-formulations-llc-718093-01212026
00069,02/10/2026,02/02/2026,"Mark S. Dacey, M.D.",Center for Drug Evaluation and Research (CDER),Clinical Investigator,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mark-s-dacey-md-722942-02022026
00070,02/10/2026,12/10/2025,Maui Seafood LLC,Human Foods Program,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/maui-seafood-llc-715844-12102025
00071,02/10/2026,02/05/2026,Bio-Medical Pharmaceutical Manufacturing Corporation,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bio-medical-pharmaceutical-manufacturing-corporation-719654-02052026
00072,02/10/2026,02/10/2026,ProDx Health,Center for Biologics Evaluation and Research (CBER),Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/prodx-health-720762-02102026
00073,02/10/2026,01/27/2026,Conceive Fertility Center,Center for Biologics Evaluation and Research (CBER),"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/conceive-fertility-center-722459-01272026
00074,02/10/2026,01/29/2026,"Central Coast Multispecialty Medical Group, Inc.",Center for Biologics Evaluation and Research (CBER),"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/central-coast-multispecialty-medical-group-inc-722521-01292026
00075,02/10/2026,01/23/2026,Louisville Reproductive Center,Center for Biologics Evaluation and Research,"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/louisville-reproductive-center-722350-01232026
00076,02/10/2026,02/05/2026,Beach Weekend Management LLC dba Nic and Jet Fuel,Center for Drug Evaluation and Research (CDER),Unapproved New Drugs,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/beach-weekend-management-llc-dba-nic-and-jet-fuel-719715-02052026
00077,02/10/2026,01/30/2026,niqpouches.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/niqpouchescom-722530-01302026
00078,02/10/2026,12/11/2025,BNC Distribution Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bnc-distribution-inc-719765-12112025
00079,02/03/2026,01/08/2026,Unomedical Device S.A. de C.V.,Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/unomedical-device-sa-de-cv-719428-01082026
00080,02/03/2026,01/23/2026,"Abbott Diabetes Care, Inc.",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/abbott-diabetes-care-inc-722046-01232026
00081,02/03/2026,01/27/2026,"HTO Nevada, Inc. dba Kirkman",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/hto-nevada-inc-dba-kirkman-719074-01272026
00082,02/03/2026,01/27/2026,Flextronics America LLC,Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/flextronics-america-llc-722180-01272026
00083,02/03/2026,08/21/2025,Carolina Seafood Inc.,Human Foods Program,Seafood HACCP/CGMP for Foods/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/carolina-seafood-inc-710510-08212025
00084,02/03/2026,01/09/2026,Christopher Dale Butler,Human Foods Program,Acidified Foods/Emergency Permit Control/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/christopher-dale-butler-720334-01092026
00085,02/03/2026,01/09/2026,CC Pollen Company,Human Foods Program,CGMP/Dietary Supplement/Adulterated/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cc-pollen-company-714784-01092026
00086,02/03/2026,09/10/2025,"Eniva USA, Inc.",Human Foods Program,CGMP/Dietary Supplement/Adulterated/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/eniva-usa-inc-706565-09102025
00087,02/03/2026,01/15/2026,The Great Smart African Food LLC,Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/great-smart-african-food-llc-721634-01152026
00088,02/03/2026,01/30/2026,gotpouches.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/gotpouchescom-722621-01302026
00089,02/03/2026,01/30/2026,Cohance Lifesciences Limited,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cohance-lifesciences-limited-718812-01302026
00090,01/27/2026,01/16/2026,"Zip Foods Importers, Inc",Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/zip-foods-importers-inc-713379-01162026
00091,01/27/2026,09/08/2025,American Food Distributor Inc.,Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/american-food-distributor-inc-715733-09082025
00092,01/27/2026,10/23/2025,MG GROUP USA,Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mg-group-usa-718152-10232025
00093,01/27/2026,11/25/2025,"Asli Foods, Inc",Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/asli-foods-inc-719578-11252025
00094,01/27/2026,12/22/2025,"Meridian Bioscience, Inc",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/meridian-bioscience-inc-720826-12222025
00095,01/27/2026,01/14/2026,Fulijaya Manufacturing SDN. BHD.,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fulijaya-manufacturing-sdn-bhd-719172-01142026
00096,01/27/2026,12/17/2025,"MAST Biosurgery USA, Inc.",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mast-biosurgery-usa-inc-720661-12172025
00097,01/27/2026,01/13/2026,"Center For Immunology Science, LLC",Center for Drug Evaluation and Research (CDER),Sponsor/Investigator,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/center-immunology-science-llc-719933-01132026
00098,01/20/2026,01/08/2026,Genetrace,Center for Biologics Evaluation and Research (CBER),Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/genetrace-720529-01082026
00099,01/20/2026,01/08/2026,Genovate,Center for Biologics Evaluation and Research (CBER),Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/genovate-720554-01082026
